CV step,Epochs GNN,Epochs Classifier,Learning rate,Smoothing,drop_method,drop_rate,MLP Architecture,Test Accuracy,Test Precision
2,300,100,0.001,0.1,drophyperedge,0.01,"(512, 256, 128, 64)",0.868421052631579,0.8118811881188119
3,300,100,0.001,0.1,drophyperedge,0.01,"(512, 256, 128, 64)",0.881578947368421,0.8651685393258427
4,300,100,0.001,0.1,drophyperedge,0.01,"(512, 256, 128, 64)",0.9539473684210527,0.9375
0,300,100,0.001,0.1,drophyperedge,0.1,"(512, 256, 128, 64)",0.881578947368421,0.8488372093023255
1,300,100,0.001,0.1,drophyperedge,0.1,"(512, 256, 128, 64)",0.9210526315789473,0.9318181818181818
2,300,100,0.001,0.1,drophyperedge,0.1,"(512, 256, 128, 64)",0.875,0.8636363636363636
3,300,100,0.001,0.1,drophyperedge,0.1,"(512, 256, 128, 64)",0.7302631578947368,0.8
4,300,100,0.001,0.1,drophyperedge,0.1,"(512, 256, 128, 64)",0.9144736842105263,0.9148936170212766
0,300,100,0.001,0.1,drophyperedge,0.2,"(512, 256, 128, 64)",0.8026315789473685,0.7307692307692307
1,300,100,0.001,0.1,drophyperedge,0.2,"(512, 256, 128, 64)",0.875,0.8484848484848485
2,300,100,0.001,0.1,drophyperedge,0.2,"(512, 256, 128, 64)",0.8947368421052632,0.8526315789473684
3,300,100,0.001,0.1,drophyperedge,0.2,"(512, 256, 128, 64)",0.8355263157894737,0.8625
4,300,100,0.001,0.1,drophyperedge,0.2,"(512, 256, 128, 64)",0.8947368421052632,0.8947368421052632
0,300,100,0.001,0.1,drophyperedge,0.5,"(512, 256, 128, 64)",0.7763157894736842,0.7291666666666666
1,300,100,0.001,0.1,drophyperedge,0.5,"(512, 256, 128, 64)",0.8289473684210527,0.7980769230769231
2,300,100,0.001,0.1,drophyperedge,0.5,"(512, 256, 128, 64)",0.7631578947368421,0.7155963302752294
3,300,100,0.001,0.1,drophyperedge,0.5,"(512, 256, 128, 64)",0.7960526315789473,0.7653061224489796
4,300,100,0.001,0.1,drophyperedge,0.5,"(512, 256, 128, 64)",0.8552631578947368,0.8484848484848485
0,300,100,0.001,0.1,drophyperedge,0.8,"(512, 256, 128, 64)",0.5131578947368421,0.5196078431372549
1,300,100,0.001,0.1,drophyperedge,0.8,"(512, 256, 128, 64)",0.5197368421052632,0.5882352941176471
2,300,100,0.001,0.1,drophyperedge,0.8,"(512, 256, 128, 64)",0.5197368421052632,0.5568181818181818
3,300,100,0.001,0.1,drophyperedge,0.8,"(512, 256, 128, 64)",0.5460526315789473,0.5729166666666666
4,300,100,0.001,0.1,drophyperedge,0.8,"(512, 256, 128, 64)",0.4276315789473684,0.7
0,500,100,0.001,0.1,drophyperedge,0.0,"(512, 256, 128, 64)",0.4605263157894737,0.4375
1,500,100,0.001,0.1,drophyperedge,0.0,"(512, 256, 128, 64)",0.4144736842105263,0.4827586206896552
2,500,100,0.001,0.1,drophyperedge,0.0,"(512, 256, 128, 64)",0.9210526315789473,0.8817204301075269
3,500,100,0.001,0.1,drophyperedge,0.0,"(512, 256, 128, 64)",0.9013157894736842,0.8541666666666666
4,500,100,0.001,0.1,drophyperedge,0.0,"(512, 256, 128, 64)",0.4144736842105263,0.5357142857142857
0,500,100,0.001,0.1,drophyperedge,0.01,"(512, 256, 128, 64)",0.8223684210526315,0.7428571428571429
1,500,100,0.001,0.1,drophyperedge,0.01,"(512, 256, 128, 64)",0.9407894736842105,0.9247311827956989
2,500,100,0.001,0.1,drophyperedge,0.01,"(512, 256, 128, 64)",0.9078947368421053,0.9058823529411765
3,500,100,0.001,0.1,drophyperedge,0.01,"(512, 256, 128, 64)",0.8355263157894737,0.8625
4,500,100,0.001,0.1,drophyperedge,0.01,"(512, 256, 128, 64)",0.8947368421052632,0.8712871287128713
0,500,100,0.001,0.1,drophyperedge,0.1,"(512, 256, 128, 64)",0.8157894736842105,0.7604166666666666
1,500,100,0.001,0.1,drophyperedge,0.1,"(512, 256, 128, 64)",0.8881578947368421,0.865979381443299
2,500,100,0.001,0.1,drophyperedge,0.1,"(512, 256, 128, 64)",0.8355263157894737,0.7959183673469388
3,500,100,0.001,0.1,drophyperedge,0.1,"(512, 256, 128, 64)",0.8618421052631579,0.81
4,500,100,0.001,0.1,drophyperedge,0.1,"(512, 256, 128, 64)",0.875,0.8529411764705882
0,500,100,0.001,0.1,drophyperedge,0.2,"(512, 256, 128, 64)",0.8355263157894737,0.7572815533980582
1,500,100,0.001,0.1,drophyperedge,0.2,"(512, 256, 128, 64)",0.8223684210526315,0.7652173913043478
2,500,100,0.001,0.1,drophyperedge,0.2,"(512, 256, 128, 64)",0.8552631578947368,0.8210526315789474
3,500,100,0.001,0.1,drophyperedge,0.2,"(512, 256, 128, 64)",0.8421052631578947,0.8241758241758241
4,500,100,0.001,0.1,drophyperedge,0.2,"(512, 256, 128, 64)",0.8618421052631579,0.8181818181818182
0,500,100,0.001,0.1,drophyperedge,0.5,"(512, 256, 128, 64)",0.5855263157894737,0.5572519083969466
1,500,100,0.001,0.1,drophyperedge,0.5,"(512, 256, 128, 64)",0.5855263157894737,0.6288659793814433
2,500,100,0.001,0.1,drophyperedge,0.5,"(512, 256, 128, 64)",0.5263157894736842,0.5567010309278351
3,500,100,0.001,0.1,drophyperedge,0.5,"(512, 256, 128, 64)",0.5723684210526315,0.6216216216216216
4,500,100,0.001,0.1,drophyperedge,0.5,"(512, 256, 128, 64)",0.5986842105263158,0.6829268292682927
0,500,100,0.001,0.1,drophyperedge,0.8,"(512, 256, 128, 64)",0.5394736842105263,0.5303030303030303
1,500,100,0.001,0.1,drophyperedge,0.8,"(512, 256, 128, 64)",0.5723684210526315,0.5950413223140496
2,500,100,0.001,0.1,drophyperedge,0.8,"(512, 256, 128, 64)",0.625,0.6382978723404256
3,500,100,0.001,0.1,drophyperedge,0.8,"(512, 256, 128, 64)",0.5526315789473685,0.5581395348837209
4,500,100,0.001,0.1,drophyperedge,0.8,"(512, 256, 128, 64)",0.5328947368421053,0.625
