CV step,Epochs GNN,Epochs Classifier,Learning rate,Smoothing,drop_method,drop_rate,MLP Architecture,Test Accuracy,Test Precision
1,500,100,0.001,0.1,dropnode,0.2,"(512, 256, 128, 64)",0.8355263157894737,0.8058252427184466
2,500,100,0.001,0.1,dropnode,0.2,"(512, 256, 128, 64)",0.8486842105263158,0.8061224489795918
3,500,100,0.001,0.1,dropnode,0.2,"(512, 256, 128, 64)",0.7894736842105263,0.7741935483870968
4,500,100,0.001,0.1,dropnode,0.2,"(512, 256, 128, 64)",0.8486842105263158,0.8953488372093024
0,500,100,0.001,0.1,dropnode,0.5,"(512, 256, 128, 64)",0.7828947368421053,0.7142857142857143
1,500,100,0.001,0.1,dropnode,0.5,"(512, 256, 128, 64)",0.8421052631578947,0.8137254901960784
2,500,100,0.001,0.1,dropnode,0.5,"(512, 256, 128, 64)",0.7697368421052632,0.7608695652173914
3,500,100,0.001,0.1,dropnode,0.5,"(512, 256, 128, 64)",0.7894736842105263,0.7428571428571429
4,500,100,0.001,0.1,dropnode,0.5,"(512, 256, 128, 64)",0.8421052631578947,0.8526315789473684
0,500,100,0.001,0.1,dropnode,0.8,"(512, 256, 128, 64)",0.743421052631579,0.6822429906542056
1,500,100,0.001,0.1,dropnode,0.8,"(512, 256, 128, 64)",0.7960526315789473,0.7766990291262136
2,500,100,0.001,0.1,dropnode,0.8,"(512, 256, 128, 64)",0.8157894736842105,0.8021978021978022
3,500,100,0.001,0.1,dropnode,0.8,"(512, 256, 128, 64)",0.7631578947368421,0.719626168224299
4,500,100,0.001,0.1,dropnode,0.8,"(512, 256, 128, 64)",0.7763157894736842,0.8131868131868132
