CV step,Epochs GNN,Epochs Classifier,Learning rate,Smoothing,drop_method,drop_rate,MLP Architecture,Test Accuracy,Test Precision
0,100,100,0.001,0.5,dropnode,0.1,"(512, 256, 128, 64)",0.6052631578947368,0.6666666666666666
1,100,100,0.001,0.5,dropnode,0.1,"(512, 256, 128, 64)",0.5986842105263158,0.651685393258427
2,100,100,0.001,0.5,dropnode,0.1,"(512, 256, 128, 64)",0.5723684210526315,0.6097560975609756
3,100,100,0.001,0.5,dropnode,0.1,"(512, 256, 128, 64)",0.5921052631578947,0.5945945945945946
4,100,100,0.001,0.5,dropnode,0.1,"(512, 256, 128, 64)",0.6052631578947368,0.6781609195402298
0,100,100,0.001,0.5,dropnode,0.2,"(512, 256, 128, 64)",0.5723684210526315,0.6382978723404256
1,100,100,0.001,0.5,dropnode,0.2,"(512, 256, 128, 64)",0.6842105263157895,0.6818181818181818
2,100,100,0.001,0.5,dropnode,0.2,"(512, 256, 128, 64)",0.5789473684210527,0.6610169491525424
3,100,100,0.001,0.5,dropnode,0.2,"(512, 256, 128, 64)",0.625,0.6226415094339622
4,100,100,0.001,0.5,dropnode,0.2,"(512, 256, 128, 64)",0.6513157894736842,0.7317073170731707
0,100,100,0.001,0.5,dropnode,0.5,"(512, 256, 128, 64)",0.7236842105263158,0.68
1,100,100,0.001,0.5,dropnode,0.5,"(512, 256, 128, 64)",0.743421052631579,0.7692307692307693
2,100,100,0.001,0.5,dropnode,0.5,"(512, 256, 128, 64)",0.6118421052631579,0.6333333333333333
3,100,100,0.001,0.5,dropnode,0.5,"(512, 256, 128, 64)",0.7763157894736842,0.7130434782608696
4,100,100,0.001,0.5,dropnode,0.5,"(512, 256, 128, 64)",0.6907894736842105,0.7894736842105263
0,100,100,0.001,0.5,dropnode,0.8,"(512, 256, 128, 64)",0.7631578947368421,0.71
1,100,100,0.001,0.5,dropnode,0.8,"(512, 256, 128, 64)",0.7960526315789473,0.7938144329896907
2,100,100,0.001,0.5,dropnode,0.8,"(512, 256, 128, 64)",0.7171052631578947,0.803030303030303
3,100,100,0.001,0.5,dropnode,0.8,"(512, 256, 128, 64)",0.756578947368421,0.7674418604651163
4,100,100,0.001,0.5,dropnode,0.8,"(512, 256, 128, 64)",0.8421052631578947,0.8018018018018018
0,100,100,0.001,0.8,dropnode,0.0,"(512, 256, 128, 64)",0.618421052631579,0.631578947368421
1,100,100,0.001,0.8,dropnode,0.0,"(512, 256, 128, 64)",0.375,0.37037037037037035
2,100,100,0.001,0.8,dropnode,0.0,"(512, 256, 128, 64)",0.506578947368421,0.6538461538461539
3,100,100,0.001,0.8,dropnode,0.0,"(512, 256, 128, 64)",0.4934210526315789,0.575
4,100,100,0.001,0.8,dropnode,0.0,"(512, 256, 128, 64)",0.45394736842105265,0.7
0,100,100,0.001,0.8,dropnode,0.01,"(512, 256, 128, 64)",0.7894736842105263,0.7555555555555555
1,100,100,0.001,0.8,dropnode,0.01,"(512, 256, 128, 64)",0.7697368421052632,0.7849462365591398
2,100,100,0.001,0.8,dropnode,0.01,"(512, 256, 128, 64)",0.7828947368421053,0.7717391304347826
3,100,100,0.001,0.8,dropnode,0.01,"(512, 256, 128, 64)",0.6973684210526315,0.7032967032967034
4,100,100,0.001,0.8,dropnode,0.01,"(512, 256, 128, 64)",0.7302631578947368,0.8125
0,100,100,0.001,0.8,dropnode,0.1,"(512, 256, 128, 64)",0.5197368421052632,0.5242718446601942
1,100,100,0.001,0.8,dropnode,0.1,"(512, 256, 128, 64)",0.5526315789473685,0.5862068965517241
2,100,100,0.001,0.8,dropnode,0.1,"(512, 256, 128, 64)",0.5131578947368421,0.5428571428571428
3,100,100,0.001,0.8,dropnode,0.1,"(512, 256, 128, 64)",0.5131578947368421,0.536
4,100,100,0.001,0.8,dropnode,0.1,"(512, 256, 128, 64)",0.6052631578947368,0.6565656565656566
0,100,100,0.001,0.8,dropnode,0.2,"(512, 256, 128, 64)",0.4868421052631579,0.5
1,100,100,0.001,0.8,dropnode,0.2,"(512, 256, 128, 64)",0.6052631578947368,0.8043478260869565
2,100,100,0.001,0.8,dropnode,0.2,"(512, 256, 128, 64)",0.5789473684210527,0.6862745098039216
3,100,100,0.001,0.8,dropnode,0.2,"(512, 256, 128, 64)",0.5328947368421053,0.5476190476190477
4,100,100,0.001,0.8,dropnode,0.2,"(512, 256, 128, 64)",0.5986842105263158,0.6209677419354839
0,100,100,0.001,0.8,dropnode,0.5,"(512, 256, 128, 64)",0.6578947368421053,0.6120689655172413
1,100,100,0.001,0.8,dropnode,0.5,"(512, 256, 128, 64)",0.6381578947368421,0.6363636363636364
2,100,100,0.001,0.8,dropnode,0.5,"(512, 256, 128, 64)",0.5789473684210527,0.5736434108527132
3,100,100,0.001,0.8,dropnode,0.5,"(512, 256, 128, 64)",0.7039473684210527,0.69
4,100,100,0.001,0.8,dropnode,0.5,"(512, 256, 128, 64)",0.6644736842105263,0.7631578947368421
0,100,100,0.001,0.8,dropnode,0.8,"(512, 256, 128, 64)",0.5328947368421053,0.5686274509803921
1,100,100,0.001,0.8,dropnode,0.8,"(512, 256, 128, 64)",0.7368421052631579,0.7857142857142857
2,100,100,0.001,0.8,dropnode,0.8,"(512, 256, 128, 64)",0.75,0.7368421052631579
3,100,100,0.001,0.8,dropnode,0.8,"(512, 256, 128, 64)",0.756578947368421,0.7395833333333334
4,100,100,0.001,0.8,dropnode,0.8,"(512, 256, 128, 64)",0.7828947368421053,0.8085106382978723
