CV step,Epochs GNN,Epochs Classifier,Learning rate,Smoothing,drop_method,drop_rate,MLP Architecture,Test Accuracy,Test Precision
0,100,100,0.001,0.2,drophyperedge,0.2,"(512, 256, 128, 64)",0.9144736842105263,0.8823529411764706
1,100,100,0.001,0.2,drophyperedge,0.2,"(512, 256, 128, 64)",0.9276315789473685,0.9325842696629213
2,100,100,0.001,0.2,drophyperedge,0.2,"(512, 256, 128, 64)",0.8881578947368421,0.8586956521739131
3,100,100,0.001,0.2,drophyperedge,0.2,"(512, 256, 128, 64)",0.9078947368421053,0.8631578947368421
4,100,100,0.001,0.2,drophyperedge,0.2,"(512, 256, 128, 64)",0.9736842105263158,0.967741935483871
0,100,100,0.001,0.2,drophyperedge,0.5,"(512, 256, 128, 64)",0.8289473684210527,0.776595744680851
1,100,100,0.001,0.2,drophyperedge,0.5,"(512, 256, 128, 64)",0.9013157894736842,0.9010989010989011
2,100,100,0.001,0.2,drophyperedge,0.5,"(512, 256, 128, 64)",0.9013157894736842,0.8541666666666666
3,100,100,0.001,0.2,drophyperedge,0.5,"(512, 256, 128, 64)",0.875,0.8404255319148937
4,100,100,0.001,0.2,drophyperedge,0.5,"(512, 256, 128, 64)",0.875,0.86
0,100,100,0.001,0.2,drophyperedge,0.8,"(512, 256, 128, 64)",0.5394736842105263,0.53125
1,100,100,0.001,0.2,drophyperedge,0.8,"(512, 256, 128, 64)",0.5460526315789473,0.594059405940594
2,100,100,0.001,0.2,drophyperedge,0.8,"(512, 256, 128, 64)",0.5592105263157895,0.7352941176470589
3,100,100,0.001,0.2,drophyperedge,0.8,"(512, 256, 128, 64)",0.48026315789473684,0.5222222222222223
4,100,100,0.001,0.2,drophyperedge,0.8,"(512, 256, 128, 64)",0.5197368421052632,0.625
0,100,100,0.001,0.5,drophyperedge,0.0,"(512, 256, 128, 64)",0.4868421052631579,0.5
1,100,100,0.001,0.5,drophyperedge,0.0,"(512, 256, 128, 64)",0.4473684210526316,0.6428571428571429
2,100,100,0.001,0.5,drophyperedge,0.0,"(512, 256, 128, 64)",0.4144736842105263,0.2857142857142857
3,100,100,0.001,0.5,drophyperedge,0.0,"(512, 256, 128, 64)",0.4605263157894737,0.52
4,100,100,0.001,0.5,drophyperedge,0.0,"(512, 256, 128, 64)",0.875,0.8673469387755102
0,100,100,0.001,0.5,drophyperedge,0.01,"(512, 256, 128, 64)",0.8881578947368421,0.8765432098765432
1,100,100,0.001,0.5,drophyperedge,0.01,"(512, 256, 128, 64)",0.9407894736842105,0.9247311827956989
