,model,data,depth,epochs,best_val_accuracy,test_accuracy,drop_method,drop_rate,oversmoothing,val_accuracy
10,HGNNP,CocitationCora,1,199,0.4462616741657257,0.4462616741657257,no dropout,0.5,"[60.41443634033203, 23516.1875, 28027.466796875, 22738.708984375, 18646.3203125, 15735.5107421875, 13178.6103515625, 11137.3828125, 9562.2451171875, 8369.703125, 7480.11376953125, 6858.89599609375, 6429.0439453125, 6148.2978515625, 5881.54541015625, 5693.51611328125, 5477.4619140625, 5281.3388671875, 5152.67236328125, 4919.94970703125]","[0.16861370205879211, 0.22313083708286285, 0.1962616890668869, 0.23987539112567902, 0.30451712012290955, 0.35163551568984985, 0.4057632386684418, 0.4306853711605072, 0.4388629198074341, 0.4447040557861328, 0.44509345293045044, 0.4462616741657257, 0.4462616741657257, 0.43691587448120117, 0.44042056798934937, 0.440809965133667, 0.440809965133667, 0.4291277229785919, 0.42951712012290955, 0.4338006377220154]"
11,HGNNP,CocitationCora,1,0,0.1370716542005539,0.1370716542005539,dropnode,0.5,"[273.83380126953125, 17740.08203125, 23459.392578125, 19530.654296875, 16126.2041015625, 13499.294921875, 11368.693359375, 9387.9013671875, 8395.8154296875, 7594.5927734375, 6542.1142578125, 6518.3916015625, 5443.4638671875, 5059.7548828125, 5044.3486328125, 5030.26025390625, 4078.418212890625, 4128.71484375, 3692.42626953125, 3542.74755859375]","[0.1370716542005539, 0.19742991030216217, 0.17601245641708374, 0.18964174389839172, 0.20171339809894562, 0.16394081711769104, 0.15654206275939941, 0.1978193074464798, 0.2118380069732666, 0.23987539112567902, 0.28232088685035706, 0.2897196114063263, 0.2866043746471405, 0.2912772595882416, 0.2694703936576843, 0.27725857496261597, 0.28037384152412415, 0.30451712012290955, 0.2710280418395996, 0.2573987543582916]"
12,HGNNP,CocitationCora,1,20,0.19742991030216217,0.17601245641708374,dropnode,0.5,"[273.83380126953125, 17740.08203125, 23459.392578125, 19530.654296875, 16126.2041015625, 13499.294921875, 11368.693359375, 9387.9013671875, 8395.8154296875, 7594.5927734375, 6542.1142578125, 6518.3916015625, 5443.4638671875, 5059.7548828125, 5044.3486328125, 5030.26025390625, 4078.418212890625, 4128.71484375, 3692.42626953125, 3542.74755859375]","[0.1370716542005539, 0.19742991030216217, 0.17601245641708374, 0.18964174389839172, 0.20171339809894562, 0.16394081711769104, 0.15654206275939941, 0.1978193074464798, 0.2118380069732666, 0.23987539112567902, 0.28232088685035706, 0.2897196114063263, 0.2866043746471405, 0.2912772595882416, 0.2694703936576843, 0.27725857496261597, 0.28037384152412415, 0.30451712012290955, 0.2710280418395996, 0.2573987543582916]"
13,HGNNP,CocitationCora,1,40,0.20171339809894562,0.20171339809894562,dropnode,0.5,"[273.83380126953125, 17740.08203125, 23459.392578125, 19530.654296875, 16126.2041015625, 13499.294921875, 11368.693359375, 9387.9013671875, 8395.8154296875, 7594.5927734375, 6542.1142578125, 6518.3916015625, 5443.4638671875, 5059.7548828125, 5044.3486328125, 5030.26025390625, 4078.418212890625, 4128.71484375, 3692.42626953125, 3542.74755859375]","[0.1370716542005539, 0.19742991030216217, 0.17601245641708374, 0.18964174389839172, 0.20171339809894562, 0.16394081711769104, 0.15654206275939941, 0.1978193074464798, 0.2118380069732666, 0.23987539112567902, 0.28232088685035706, 0.2897196114063263, 0.2866043746471405, 0.2912772595882416, 0.2694703936576843, 0.27725857496261597, 0.28037384152412415, 0.30451712012290955, 0.2710280418395996, 0.2573987543582916]"
14,HGNNP,CocitationCora,1,60,0.20171339809894562,0.15654206275939941,dropnode,0.5,"[273.83380126953125, 17740.08203125, 23459.392578125, 19530.654296875, 16126.2041015625, 13499.294921875, 11368.693359375, 9387.9013671875, 8395.8154296875, 7594.5927734375, 6542.1142578125, 6518.3916015625, 5443.4638671875, 5059.7548828125, 5044.3486328125, 5030.26025390625, 4078.418212890625, 4128.71484375, 3692.42626953125, 3542.74755859375]","[0.1370716542005539, 0.19742991030216217, 0.17601245641708374, 0.18964174389839172, 0.20171339809894562, 0.16394081711769104, 0.15654206275939941, 0.1978193074464798, 0.2118380069732666, 0.23987539112567902, 0.28232088685035706, 0.2897196114063263, 0.2866043746471405, 0.2912772595882416, 0.2694703936576843, 0.27725857496261597, 0.28037384152412415, 0.30451712012290955, 0.2710280418395996, 0.2573987543582916]"
15,HGNNP,CocitationCora,1,80,0.2118380069732666,0.2118380069732666,dropnode,0.5,"[273.83380126953125, 17740.08203125, 23459.392578125, 19530.654296875, 16126.2041015625, 13499.294921875, 11368.693359375, 9387.9013671875, 8395.8154296875, 7594.5927734375, 6542.1142578125, 6518.3916015625, 5443.4638671875, 5059.7548828125, 5044.3486328125, 5030.26025390625, 4078.418212890625, 4128.71484375, 3692.42626953125, 3542.74755859375]","[0.1370716542005539, 0.19742991030216217, 0.17601245641708374, 0.18964174389839172, 0.20171339809894562, 0.16394081711769104, 0.15654206275939941, 0.1978193074464798, 0.2118380069732666, 0.23987539112567902, 0.28232088685035706, 0.2897196114063263, 0.2866043746471405, 0.2912772595882416, 0.2694703936576843, 0.27725857496261597, 0.28037384152412415, 0.30451712012290955, 0.2710280418395996, 0.2573987543582916]"
16,HGNNP,CocitationCora,1,100,0.28232088685035706,0.28232088685035706,dropnode,0.5,"[273.83380126953125, 17740.08203125, 23459.392578125, 19530.654296875, 16126.2041015625, 13499.294921875, 11368.693359375, 9387.9013671875, 8395.8154296875, 7594.5927734375, 6542.1142578125, 6518.3916015625, 5443.4638671875, 5059.7548828125, 5044.3486328125, 5030.26025390625, 4078.418212890625, 4128.71484375, 3692.42626953125, 3542.74755859375]","[0.1370716542005539, 0.19742991030216217, 0.17601245641708374, 0.18964174389839172, 0.20171339809894562, 0.16394081711769104, 0.15654206275939941, 0.1978193074464798, 0.2118380069732666, 0.23987539112567902, 0.28232088685035706, 0.2897196114063263, 0.2866043746471405, 0.2912772595882416, 0.2694703936576843, 0.27725857496261597, 0.28037384152412415, 0.30451712012290955, 0.2710280418395996, 0.2573987543582916]"
17,HGNNP,CocitationCora,1,120,0.2897196114063263,0.2866043746471405,dropnode,0.5,"[273.83380126953125, 17740.08203125, 23459.392578125, 19530.654296875, 16126.2041015625, 13499.294921875, 11368.693359375, 9387.9013671875, 8395.8154296875, 7594.5927734375, 6542.1142578125, 6518.3916015625, 5443.4638671875, 5059.7548828125, 5044.3486328125, 5030.26025390625, 4078.418212890625, 4128.71484375, 3692.42626953125, 3542.74755859375]","[0.1370716542005539, 0.19742991030216217, 0.17601245641708374, 0.18964174389839172, 0.20171339809894562, 0.16394081711769104, 0.15654206275939941, 0.1978193074464798, 0.2118380069732666, 0.23987539112567902, 0.28232088685035706, 0.2897196114063263, 0.2866043746471405, 0.2912772595882416, 0.2694703936576843, 0.27725857496261597, 0.28037384152412415, 0.30451712012290955, 0.2710280418395996, 0.2573987543582916]"
18,HGNNP,CocitationCora,1,140,0.2912772595882416,0.2694703936576843,dropnode,0.5,"[273.83380126953125, 17740.08203125, 23459.392578125, 19530.654296875, 16126.2041015625, 13499.294921875, 11368.693359375, 9387.9013671875, 8395.8154296875, 7594.5927734375, 6542.1142578125, 6518.3916015625, 5443.4638671875, 5059.7548828125, 5044.3486328125, 5030.26025390625, 4078.418212890625, 4128.71484375, 3692.42626953125, 3542.74755859375]","[0.1370716542005539, 0.19742991030216217, 0.17601245641708374, 0.18964174389839172, 0.20171339809894562, 0.16394081711769104, 0.15654206275939941, 0.1978193074464798, 0.2118380069732666, 0.23987539112567902, 0.28232088685035706, 0.2897196114063263, 0.2866043746471405, 0.2912772595882416, 0.2694703936576843, 0.27725857496261597, 0.28037384152412415, 0.30451712012290955, 0.2710280418395996, 0.2573987543582916]"
19,HGNNP,CocitationCora,1,160,0.2912772595882416,0.28037384152412415,dropnode,0.5,"[273.83380126953125, 17740.08203125, 23459.392578125, 19530.654296875, 16126.2041015625, 13499.294921875, 11368.693359375, 9387.9013671875, 8395.8154296875, 7594.5927734375, 6542.1142578125, 6518.3916015625, 5443.4638671875, 5059.7548828125, 5044.3486328125, 5030.26025390625, 4078.418212890625, 4128.71484375, 3692.42626953125, 3542.74755859375]","[0.1370716542005539, 0.19742991030216217, 0.17601245641708374, 0.18964174389839172, 0.20171339809894562, 0.16394081711769104, 0.15654206275939941, 0.1978193074464798, 0.2118380069732666, 0.23987539112567902, 0.28232088685035706, 0.2897196114063263, 0.2866043746471405, 0.2912772595882416, 0.2694703936576843, 0.27725857496261597, 0.28037384152412415, 0.30451712012290955, 0.2710280418395996, 0.2573987543582916]"
